distance,bodyCount,name,id,id64,coords,coordsLocked,requirePermit,information,primaryStar,duplicates,anchor_system,anchor_description,permitName
35.51,18.0,BD+09 879D,54339,4460114485.0,"{'x': 389.59375, 'y': -319.53125, 'z': -1449.96875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 43078, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'None', 'reserve': None}","{'type': 'B (Blue-White) Star', 'name': 'BD+09 879D', 'isScoopable': True}",,2MASS J05355200+0950293,,
69.14,11.0,DM99 59.3,28762190,88636983944049.0,"{'x': 389.65625, 'y': -308.0625, 'z': -1416.4375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 59.3', 'isScoopable': True}",,2MASS J05355200+0950293,,
54.0,30.0,DM99 47.1,1661574,9472146744169.0,"{'x': 389.6875, 'y': -311.875, 'z': -1431.5}",True,False,"{'allegiance': 'Independent', 'government': 'Democracy', 'faction': 'The Dark Wheel', 'factionState': 'None', 'population': 101061, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'Colony', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 47.1 A', 'isScoopable': True}","[15552063, 16635027]",2MASS J05355200+0950293,,
35.59,27.0,2MASS J05345712+0954367,13232975,7273123488609.0,"{'x': 389.75, 'y': -320.375, 'z': -1449.71875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05345712+0954367', 'isScoopable': True}",[21089975],2MASS J05355200+0950293,,
40.21,1.0,V2345 Orionis,1710469,5074100233057.0,"{'x': 389.75, 'y': -317.28125, 'z': -1445.125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'V2345 Orionis', 'isScoopable': True}","[4785338, 5745152]",2MASS J05355200+0950293,,
28.42,13.0,BSM2011 w042c,20134233,5074100167521.0,"{'x': 390.6875, 'y': -330.03125, 'z': -1457.90625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 w042c', 'isScoopable': True}",,2MASS J05355200+0950293,,
40.13,1.0,BSM2011 e043,20130483,31462379299681.0,"{'x': 390.4375, 'y': -313.75, 'z': -1445.71875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e043', 'isScoopable': True}",,2MASS J05355200+0950293,,
22.16,35.0,DM99 11.2,21090093,18268239766369.0,"{'x': 390.4375, 'y': -324.375, 'z': -1464.53125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 11.2 A', 'isScoopable': True}","[1705487, 13818491, 19970541]",2MASS J05355200+0950293,,
48.03,18.0,DM99 41.4,8418808,97433076966249.0,"{'x': 390.40625, 'y': -314.6875, 'z': -1437.03125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 41.4', 'isScoopable': True}","[1705733, 8418825, 20096732]",2MASS J05355200+0950293,,
30.26,45.0,DM99 12.2,13129594,11671169999713.0,"{'x': 390.34375, 'y': -323.78125, 'z': -1455.15625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 12.2 A', 'isScoopable': True}","[1660421, 10820649, 19966098]",2MASS J05355200+0950293,,
24.13,2.0,2MASS J05335199+0953025,20201964,11671169934177.0,"{'x': 390.21875, 'y': -329.9375, 'z': -1463.34375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05335199+0953025 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
33.22,10.0,2MASS J05343836+0958116,5190447,44656518832993.0,"{'x': 388.125, 'y': -321.9375, 'z': -1453}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05343836+0958116 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
62.87,9.0,Col 69 Sector MS-Q b6-0,3208108,676053853001.0,"{'x': 390.21875, 'y': -270.125, 'z': -1512.96875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector MS-Q b6-0 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
58.02,22.0,Swigert,11356903,88636983944041.0,"{'x': 390.15625, 'y': -311.8125, 'z': -1427.15625}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 13827724, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'None', 'reserve': None}","{'type': 'M (Red dwarf) Star', 'name': 'Swigert A', 'isScoopable': True}",[20209297],2MASS J05355200+0950293,,
58.02,2.0,DM99 50.3,21090365,110627216499561.0,"{'x': 389.9375, 'y': -311.59375, 'z': -1427.25}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 50.3 A', 'isScoopable': True}","[54524, 20095084]",2MASS J05355200+0950293,,
43.31,11.0,2MASS J05361213+1000569,16007692,29263356044137.0,"{'x': 389.90625, 'y': -310.40625, 'z': -1443.40625}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'Pereng Asli General Ltd', 'factionState': 'None', 'population': 504366, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'High Tech', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': '2MASS J05361213+1000569', 'isScoopable': True}",[18178912],2MASS J05355200+0950293,,
43.14,33.0,2MASS J05352201+0952522,4512077,27064332788585.0,"{'x': 389.8125, 'y': -316.8125, 'z': -1442.03125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05352201+0952522 A', 'isScoopable': True}",[7204969],2MASS J05355200+0950293,,
30.66,14.0,DM99 29.3,9664965,60049681621857.0,"{'x': 389.78125, 'y': -318.3125, 'z': -1455.46875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 29.3 A', 'isScoopable': True}","[100253, 19963156]",2MASS J05355200+0950293,,
77.39,7.0,DM99 68.2,14571782,11671170065265.0,"{'x': 390.1875, 'y': -303.90625, 'z': -1408.71875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 349449, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'None', 'reserve': None}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 68.2', 'isScoopable': True}","[1706310, 21090386]",2MASS J05355200+0950293,,
60.46,2.0,BSM2011 e039,238940,676053787497.0,"{'x': 390.6875, 'y': -304.5, 'z': -1426.4375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e039', 'isScoopable': True}",,2MASS J05355200+0950293,,
51.24,2.0,2MASS J05350749+0949328,4234095,16069216510825.0,"{'x': 388.09375, 'y': -317.21875, 'z': -1433.9375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05350749+0949328 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
79.3,16.0,DM99 8.1,15192020,676053721969.0,"{'x': 385.125, 'y': -320.78125, 'z': -1405.3125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 8.1 A', 'isScoopable': True}",[1659803],2MASS J05355200+0950293,,
47.44,1.0,DM99 33.4,3374547,99632100221801.0,"{'x': 385.21875, 'y': -314.03125, 'z': -1439.65625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 33.4', 'isScoopable': True}","[1662776, 13132077, 19962502]",2MASS J05355200+0950293,,
70.22,2.0,BSM2011 e026,20095293,9472146809713.0,"{'x': 385.25, 'y': -303.625, 'z': -1417.5625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e026 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
65.04,36.0,DM99 38.1,21090392,2875076977521.0,"{'x': 385.5, 'y': -311.96875, 'z': -1420.96875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'Expansion', 'population': 95505, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'Colony', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 38.1 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
63.04,8.0,DM99 44.2,21093708,42457495577457.0,"{'x': 385.59375, 'y': -309.5, 'z': -1423.59375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 44.2', 'isScoopable': True}","[1191092, 21093709, 21093712]",2MASS J05355200+0950293,,
21.11,21.0,2MASS J05333531+1008261,2184969,18268239700825.0,"{'x': 385.625, 'y': -329.71875, 'z': -1473.09375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05333531+1008261', 'isScoopable': True}",,2MASS J05355200+0950293,,
57.41,25.0,DM99 58.2,70236,86437960688489.0,"{'x': 385.6875, 'y': -306.28125, 'z': -1430.59375}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 455413, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'Agriculture', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 58.2', 'isScoopable': True}",,2MASS J05355200+0950293,,
57.26,1.0,BSM2011 e015,1706838,44656518833001.0,"{'x': 385.84375, 'y': -307.53125, 'z': -1430.3125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e015', 'isScoopable': True}",,2MASS J05355200+0950293,,
61.07,19.0,DM99 46.1,39521969,2875076977513.0,"{'x': 385.875, 'y': -309.25, 'z': -1425.6875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 87685, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'Extraction', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 46.1', 'isScoopable': True}",,2MASS J05355200+0950293,,
60.32,27.0,2MASS J05362504+1001544,2707641,676053721961.0,"{'x': 385.96875, 'y': -305.5625, 'z': -1427.53125}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'Expansion', 'population': 44445, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'Colony', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': '2MASS J05362504+1001544', 'isScoopable': True}",,2MASS J05355200+0950293,,
65.01,2.0,DM99 41.1,20096732,11671169999729.0,"{'x': 386.03125, 'y': -311.15625, 'z': -1421}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 41.1 A', 'isScoopable': True}","[1705733, 8418808, 8418825]",2MASS J05355200+0950293,,
43.5,8.0,DM99 32.3,15551221,108428193244009.0,"{'x': 386.125, 'y': -314.96875, 'z': -1443.4375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 32.3', 'isScoopable': True}","[1706444, 15551224]",2MASS J05355200+0950293,,
66.99,1.0,2MASS J05355200+0950293,20095753,62248704877425.0,"{'x': 386.28125, 'y': -309.625, 'z': -1419.15625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05355200+0950293', 'isScoopable': True}",[21089984],2MASS J05355200+0950293,,
55.94,29.0,2MASS J05342355+0943433,20126470,24865309533033.0,"{'x': 386.5625, 'y': -321.65625, 'z': -1429.125}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'Expansion', 'population': 27396, 'security': 'Low', 'economy': 'High Tech', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': '2MASS J05342355+0943433', 'isScoopable': True}",,2MASS J05355200+0950293,,
26.58,9.0,Col 69 Sector WZ-M b8-0,4031244,676053787481.0,"{'x': 386.59375, 'y': -302.9375, 'z': -1481.875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector WZ-M b8-0', 'isScoopable': True}",,2MASS J05355200+0950293,,
43.53,24.0,2MASS J05350095+0958203,1662598,71044797899625.0,"{'x': 386.625, 'y': -317.53125, 'z': -1442.71875}",False,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05350095+0958203', 'isScoopable': True}",,2MASS J05355200+0950293,,
75.18,20.0,DM99 10.2,21093138,77641867666289.0,"{'x': 387.9375, 'y': -320.03125, 'z': -1408.9375}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 25205, 'security': 'Low', 'economy': 'High Tech', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 10.2 A', 'isScoopable': True}",[70653],2MASS J05355200+0950293,,
60.11,11.0,Col 69 Sector QY-O b7-0,32635127,676053853009.0,"{'x': 387.9375, 'y': -267.15625, 'z': -1496.65625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'Col 69 Sector QY-O b7-0 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
59.44,2.0,2MASS J05345653+0942330,20126896,33661402555241.0,"{'x': 387.875, 'y': -318.0625, 'z': -1425.3125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05345653+0942330 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
69.11,27.0,DM99 61.3,39522006,73243821155185.0,"{'x': 387.46875, 'y': -305.9375, 'z': -1417.5}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 61.3', 'isScoopable': True}",,2MASS J05355200+0950293,,
72.09,1.0,BSM2011 e044,1707458,55651635110769.0,"{'x': 387.40625, 'y': -305.71875, 'z': -1414.40625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e044', 'isScoopable': True}",,2MASS J05355200+0950293,,
73.31,2.0,DM99 67.2,1706322,13870193320817.0,"{'x': 387.375, 'y': -302.375, 'z': -1414.0625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 67.2', 'isScoopable': True}",,2MASS J05355200+0950293,,
19.21,3.0,2MASS J05334256+1003478,9889131,9472146678617.0,"{'x': 388, 'y': -330.3125, 'z': -1473.375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05334256+1003478 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
49.17,13.0,2MASS J05351904+0954550,4513969,84523356594.0,"{'x': 387.375, 'y': -315.375, 'z': -1436.65625}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 835116, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'K (Yellow-Orange) Star', 'name': '2MASS J05351904+0954550 A', 'isScoopable': True}",[4407598],2MASS J05355200+0950293,,
61.0,15.0,2MASS J05355519+0952200,14571796,5074100233065.0,"{'x': 387.34375, 'y': -310.1875, 'z': -1425.09375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05355519+0952200 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
32.34,15.0,2MASS J05344631+1002318,1710837,46855542088545.0,"{'x': 387.28125, 'y': -320.4375, 'z': -1454.59375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05344631+1002318 A', 'isScoopable': True}",[17011048],2MASS J05355200+0950293,,
39.73,27.0,2MASS J05340839+0951253,18243396,40258472321889.0,"{'x': 387.25, 'y': -324.96875, 'z': -1446.1875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05340839+0951253', 'isScoopable': True}",,2MASS J05355200+0950293,,
52.42,1.0,DM99 58.1,35172757,18268239766377.0,"{'x': 386.96875, 'y': -307.3125, 'z': -1435.34375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 58.1', 'isScoopable': True}",,2MASS J05355200+0950293,,
50.26,9.0,2MASS J05350707+0954014,3374808,68845774644073.0,"{'x': 386.75, 'y': -316.46875, 'z': -1435.53125}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'Expansion', 'population': 51575, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'Refinery', 'reserve': None}","{'type': 'M (Red dwarf) Star', 'name': '2MASS J05350707+0954014', 'isScoopable': True}",[1577702],2MASS J05355200+0950293,,
56.21,1.0,2MASS J05361640+0959246,20127868,60049681621865.0,"{'x': 387.375, 'y': -307.71875, 'z': -1430.90625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05361640+0959246', 'isScoopable': True}",,2MASS J05355200+0950293,,
72.24,41.0,DM99 26.3,20094692,75442844410737.0,"{'x': 385.125, 'y': -314.1875, 'z': -1413.15625}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'Civil unrest', 'population': 48236, 'security': 'Low', 'economy': 'High Tech', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'DM99 26.3', 'isScoopable': True}","[1705465, 19324564]",2MASS J05355200+0950293,,
17.84,2.0,BSM2011 w017,20202185,13870193189721.0,"{'x': 390.78125, 'y': -332.875, 'z': -1474.1875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 w017 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
19.29,17.0,DM99 18.2,21090066,5074100233049.0,"{'x': 390.8125, 'y': -323.21875, 'z': -1467.875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 18.2 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
23.05,12.0,BSM2011 w034,2831788,5074100167505.0,"{'x': 393.375, 'y': -337.09375, 'z': -1497.96875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 w034 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
48.09,1.0,BSM2011 e099,1706755,46855542088553.0,"{'x': 393.40625, 'y': -312.09375, 'z': -1436.78125}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e099', 'isScoopable': True}",,2MASS J05355200+0950293,,
42.01,2.0,2MASS J05355255+0948310,2985668,20467263021929.0,"{'x': 393.4375, 'y': -315.15625, 'z': -1442.46875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05355255+0948310 A', 'isScoopable': True}",[19962926],2MASS J05355200+0950293,,
26.26,1.0,BSM2011 e102s,20201625,29263356044129.0,"{'x': 393.46875, 'y': -318.78125, 'z': -1458.59375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e102s', 'isScoopable': True}",,2MASS J05355200+0950293,,
43.13,9.0,DM99 60.3,1705740,106229169988457.0,"{'x': 393.46875, 'y': -311.53125, 'z': -1442.1875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 60.3', 'isScoopable': True}",,2MASS J05355200+0950293,,
15.86,3.0,2MASS J05343376+0955342,16784511,5074100167513.0,"{'x': 393.59375, 'y': -326.9375, 'z': -1470.53125}",False,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05343376+0955342', 'isScoopable': True}",,2MASS J05355200+0950293,,
19.36,3.0,BSM2011 w014w,20207344,7273123423057.0,"{'x': 393.96875, 'y': -334.34375, 'z': -1495.25}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 w014w A', 'isScoopable': True}",,2MASS J05355200+0950293,,
53.09,23.0,Col 69 Sector MS-S c4-1,3211730,359401296306.0,"{'x': 394.03125, 'y': -301.6875, 'z': -1434.90625}",True,False,"{'allegiance': 'Independent', 'government': 'Democracy', 'faction': 'The Dark Wheel', 'factionState': 'War', 'population': 18799564, 'security': 'Low', 'economy': 'Refinery', 'secondEconomy': 'Agriculture', 'reserve': None}","{'type': 'T Tauri Star', 'name': 'Col 69 Sector MS-S c4-1 A', 'isScoopable': False}",,2MASS J05355200+0950293,,
10.99,23.0,DM99 9.3,18178538,634279170474.0,"{'x': 394.125, 'y': -327.8125, 'z': -1478.6875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'Expansion', 'population': 90485, 'security': 'Low', 'economy': 'Military', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'K (Yellow-Orange) Star', 'name': 'DM99 9.3', 'isScoopable': True}","[1660512, 18178540, 19966131]",2MASS J05355200+0950293,,
62.47,9.0,DM99 68.3,21090386,86437960688497.0,"{'x': 394.125, 'y': -306.96875, 'z': -1422.875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'DM99 68.3 A', 'isScoopable': True}","[1706310, 14571782]",2MASS J05355200+0950293,,
11.56,1.0,2MASS J05344826+0959538,20202283,2875076911961.0,"{'x': 394.15625, 'y': -325.65625, 'z': -1475.96875}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05344826+0959538', 'isScoopable': True}",[21089971],2MASS J05355200+0950293,,
19.76,3.0,LOrionis-SOC 10,54555,35860425810785.0,"{'x': 394.1875, 'y': -322.5625, 'z': -1465}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'LOrionis-SOC 10 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
20.17,1.0,BSM2011 w025e,2953445,2875076911953.0,"{'x': 394.25, 'y': -332.90625, 'z': -1497.625}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 w025e', 'isScoopable': True}",,2MASS J05355200+0950293,,
17.29,1.0,2MASS J05345639+0955045,21090069,676053721945.0,"{'x': 394.375, 'y': -324.3125, 'z': -1467.75}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05345639+0955045', 'isScoopable': True}","[1660254, 19966007, 21090081]",2MASS J05355200+0950293,,
51.37,64.0,HIP 26176,54384,5533856309.0,"{'x': 394.4375, 'y': -323.53125, 'z': -1431.84375}",True,False,{},"{'type': 'B (Blue-White) Star', 'name': 'HIP 26176 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
33.01,30.0,BSM2011 e081e,3200541,20467531457377.0,"{'x': 395.09375, 'y': -316.21875, 'z': -1451.3125}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 8008071, 'security': 'Low', 'economy': 'Extraction', 'secondEconomy': 'Refinery', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': 'BSM2011 e081e', 'isScoopable': True}",,2MASS J05355200+0950293,,
9.32,2.0,2MASS J05345522+1000347,3374804,9472415114073.0,"{'x': 395.09375, 'y': -325.46875, 'z': -1478.9375}",True,False,{},"{'type': 'M (Red dwarf) Star', 'name': '2MASS J05345522+1000347 A', 'isScoopable': True}","[2708743, 20092650]",2MASS J05355200+0950293,,
21.32,29.0,2MASS J05352216+0953586,39439197,676322157409.0,"{'x': 395.0625, 'y': -321.125, 'z': -1462.96875}",True,False,"{'allegiance': 'Empire', 'government': 'Corporate', 'faction': 'LOST Industrial Technologies', 'factionState': 'None', 'population': 47946, 'security': 'Low', 'economy': 'Industrial', 'secondEconomy': 'None', 'reserve': 'Pristine'}","{'type': 'M (Red dwarf) Star', 'name': '2MASS J05352216+0953586 A', 'isScoopable': True}",,2MASS J05355200+0950293,,
